通用,#genre#
广东公共,https://ip4024712375.mobgslb.tbcache.com/tcdn.itouchtv.cn/live/gdgg.m3u8?t_token=dce11929927892793eeaeaea734c1b09-OD1N%2B14IqWPmXglQM5fTVX9jy43DA%2BRhRAa9tXUFyS5jASeBcBOtM%2BxlY83xEoyOAt3JZxX0RKnV37KFVzDG5lNZ%2BF7Uafcn3hxoHyVL%2BgkXb3O%2Be3zVMOnP1CZLqKDnrvtRMSUM4LvA0RErhwh2oBevLij0ytLn2w2ELFtDYKEzefxQuhAdgtMk5w7HUasUwlYqlk2dbPF%2FzNFHK8XvrP9JN97wrA5bc0zihTksYGXfmPGGz446BQKGi%2BfIMII%2BgMEejAkfi9VUt8qOct%2FcZu4j9DVsQIsq5CXpVBkc2ixWwRkht3Xjf0pogv4AkIlOm%2FfrDQqsB%2FZnRzjiD3HTMpE7pX8VsyKyxlltfp%2FSCggrXV5Sc8lHYCUPjamh8Q%2FZ
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
嘉佳卡通,http://183.236.13.168:808/hls/60/index.m3u8
嘉佳卡通,https://php.17186.eu.org/gdtv/web/jjkt.m3u8
嘉佳卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
中国天气,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001102/index.m3u8?
中国天气,http://zteres.sn.chinamobile.com:6060/000000001000/5000000005000031974/index.m3u8?channel-id=bestzb&Contentid=5000000005000031974&livemode=1&stbId=3
广东珠江,https://php.17186.eu.org/gdtv/web/gdzj.m3u8
广东新闻,https://php.17186.eu.org/gdtv/web/xwpd.m3u8
广东影视,http://angtv.cc/jd/gdlz.php?id=gdys
广东影视,https://php.17186.eu.org/gdtv/web/gdys.m3u8
广东体育,http://angtv.cc/jd/gdlz.php?id=dgty
广东体育,http://r.jdshipin.com/LiYdg
广州综合,http://newhc.gztv.com/sec/zhonghe.m3u8
广州综合,http://nas.jdshipin.com:8801/iptv.php?id=gzzh
广州南国都市,http://newhc.gztv.com/sec/shenghuos.m3u8
广州南国都市,http://nas.jdshipin.com:8801/gztv.php?id=shenghuo
广州影视,http://newhc.gztv.com/sec/yingshi.m3u8
广州影视,http://nas.jdshipin.com:8801/iptv.php?id=gzys
无线新闻,http://r.jdshipin.com/CkuBd
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
无线财经,http://r.jdshipin.com/jUx8K
无线财经,http://live.cooltv.top/tv/tvb.php?id=2
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://r.jdshipin.com/qrfbg
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/n90gt
华丽翡翠台,http://r.jdshipin.com/thuYX
TVB星河,http://r.jdshipin.com/sXuuD
TVB星河,http://r.jdshipin.com/Voac4
明珠台,http://r.jdshipin.com/ZQ4kN
明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
J2,http://r.jdshipin.com/Nr5jq
J2,http://r.jdshipin.com/ndGgS
VIUTV,http://r.jdshipin.com/vSJvl
VIUTV,http://r.jdshipin.com/ecsRA
HOY TV,http://r.jdshipin.com/NADme
HOY TV,http://r.jdshipin.com/ZKpTD
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK31,http://r.jdshipin.com/bl38I
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
澳视澳门,http://r.jdshipin.com/n2YZI
澳视澳门,http://61.244.22.5/ch1/ch1.live/index.m3u8
澳视卫星,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳门资讯,http://61.244.22.5/ch5/info_ch5.live/index.m3u8
澳门体育,http://61.244.22.5/ch4/sport_ch4.live/index.m3u8
澳门综艺,http://61.244.22.5/ch6/hd_ch6.live/index.m3u8
澳门莲花,http://epg.112114.xyz/lotus
澳门莲花,http://nas.jdshipin.com:8801/amlh.php
谍战剧场,http://nas.jdshipin.com:8801/bst.php?id=dzjc8m/8000000
广东4K超高清,http://nas.jdshipin.com:8801/iptv.php?id=gd4k
广州南国都市4K,http://nas.jdshipin.com:8801/iptv.php?id=ngds4k
